Date,Open*,High,Low,Close**,Volume,Market Cap
"Nov 20, 2017",8039.07,8336.86,7949.36,8200.64,3488450048,134167306240
"Nov 19, 2017",7766.03,8101.91,7694.1,8036.49,3149319936,129594712064
"Nov 18, 2017",7697.21,7884.99,7463.44,7790.15,3667190016,128424927232
"Nov 17, 2017",7853.57,8004.59,7561.09,7708.99,4651670016,131026165760
"Nov 16, 2017",7323.24,7967.38,7176.58,7871.69,5123809792,122164264960
"Nov 15, 2017",6634.76,7342.25,6634.76,7315.54,4200880128,110666571776
"Nov 14, 2017",6561.48,6764.98,6461.75,6635.75,3197110016,109433905152
"Nov 13, 2017",5938.25,6811.19,5844.29,6559.49,6263249920,99029016576
"Nov 12, 2017",6295.45,6625.05,5519.01,5950.07,8957349888,104979750912
"Nov 11, 2017",6618.61,6873.15,6204.22,6357.6,4908680192,110361878528
"Nov 10, 2017",7173.73,7312.0,6436.87,6618.14,5208249856,119607435264
"Nov 09, 2017",7446.83,7446.83,7101.52,7143.58,3226249984,124146434048
"Nov 08, 2017",7141.38,7776.42,7114.02,7459.69,4602200064,119041392640
"Nov 07, 2017",7023.1,7253.32,7023.1,7144.38,2326340096,117056233472
"Nov 06, 2017",7403.22,7445.77,7007.31,7022.76,3111899904,123379326976
"Nov 05, 2017",7404.52,7617.48,7333.19,7407.41,2380410112,123388100608
"Nov 04, 2017",7164.48,7492.86,7031.28,7379.95,2483800064,119376199680
"Nov 03, 2017",7087.53,7461.29,7002.94,7207.76,3369860096,118083854336
"Nov 02, 2017",6777.77,7367.33,6758.72,7078.5,4653770240,112909656064
"Nov 01, 2017",6440.97,6767.31,6377.88,6767.31,2870320128,107286847488
"Oct 31, 2017",6132.02,6470.43,6103.33,6468.4,2311379968,102130237440
"Oct 30, 2017",6114.85,6214.99,6040.85,6130.53,1772150016,101833015296
"Oct 29, 2017",5754.44,6255.71,5724.58,6153.85,2859040000,95819800576
"Oct 28, 2017",5787.82,5876.72,5689.19,5753.09,1403920000,96369557504
"Oct 27, 2017",5899.74,5988.39,5728.82,5780.9,1710130048,98225446912
"Oct 26, 2017",5747.95,5976.8,5721.22,5904.83,1905040000,95685124096
"Oct 25, 2017",5524.6,5754.33,5397.88,5750.8,1966989952,91954200576
"Oct 24, 2017",5935.52,5935.52,5504.18,5526.64,2735699968,98781609984
"Oct 23, 2017",6006.0,6075.59,5732.47,5930.32,2401840128,99941629952
"Oct 22, 2017",6036.66,6076.26,5792.34,6008.42,2034630016,100437917696
"Oct 21, 2017",5996.79,6194.88,5965.07,6031.6,2207099904,99763249152
"Oct 20, 2017",5708.11,6060.11,5627.23,6011.45,2354429952,94947926016
"Oct 19, 2017",5583.74,5744.35,5531.06,5708.52,1780540032,92866969600
"Oct 18, 2017",5603.82,5603.82,5151.44,5590.69,2399269888,93190160384
"Oct 17, 2017",5741.58,5800.35,5472.72,5605.51,1821570048,95469297664
"Oct 16, 2017",5687.57,5776.23,5544.21,5725.59,2008070016,94558953472
"Oct 15, 2017",5835.96,5852.48,5478.61,5678.19,1976039936,97011859456
"Oct 14, 2017",5643.53,5837.7,5591.64,5831.79,1669030016,93803028480
"Oct 13, 2017",5464.16,5840.3,5436.85,5647.21,3615480064,90812375040
"Oct 12, 2017",4829.58,5446.91,4822.0,5446.91,2791610112,80256729088
"Oct 11, 2017",4789.25,4873.73,4751.63,4826.48,1222279936,79578218496
"Oct 10, 2017",4776.21,4922.17,4765.1,4781.99,1597139968,79351848960
"Oct 09, 2017",4614.52,4878.71,4564.25,4772.02,1968739968,76656467968
"Oct 08, 2017",4429.67,4624.14,4405.64,4610.48,1313869952,73575424000
"Oct 07, 2017",4369.35,4443.88,4321.05,4426.89,906928000,72565055488
"Oct 06, 2017",4324.46,4413.27,4320.53,4370.81,1069939968,71810605056
"Oct 05, 2017",4229.88,4362.64,4164.05,4328.41,1161769984,70233686016
"Oct 04, 2017",4319.37,4352.31,4210.42,4229.36,1116770048,71712522240
"Oct 03, 2017",4408.46,4432.47,4258.89,4317.48,1288019968,73181331456
"Oct 02, 2017",4395.81,4470.23,4377.46,4409.32,1431730048,72963194880
"Oct 01, 2017",4341.05,4403.74,4269.81,4403.74,1208210048,72047304704
"Sep 30, 2017",4166.11,4358.43,4160.86,4338.71,1207449984,69136629760
